vides-id,start_time,end_time,class,duration,folds,filename,foldername
-9ek6eO0RtI,260.0,270.0,2,10.0,0,0.wav,Doorbell
-JKLmqDk9p8,490.0,500.0,3,10.0,0,1.wav,Rain
-uSlzn9oPQ4,20.0,30.0,3,10.0,0,3.wav,Rain
021B2ozAjNg,110.0,120.0,1,10.0,0,4.wav,Conversation
02JEvDAcq7U,10.0,20.0,2,10.0,0,5.wav,Doorbell
09w-ZFasRvE,60.0,70.0,1,10.0,0,6.wav,Conversation
09zT8qlC384,30.0,40.0,3,10.0,0,7.wav,Rain
0Qj73JaG8Ik,30.0,40.0,3,10.0,0,8.wav,Rain
0YsXXGEVmy8,30.0,40.0,3,10.0,0,9.wav,Rain
0urv4EcbPAM,90.0,100.0,1,10.0,0,10.wav,Conversation
1TB3-XSom_A,30.0,40.0,0,10.0,0,11.wav,Baby
1puLrugy32w,40.0,50.0,1,10.0,0,12.wav,Conversation
21L0pyts9WI,530.0,540.0,1,10.0,0,13.wav,Conversation
2Lam7ljO3Is,11.0,21.0,3,10.0,0,14.wav,Rain
2TauJ1KBMdY,30.0,40.0,1,10.0,0,15.wav,Conversation
2XP6Q2CXB-w,500.0,510.0,1,10.0,0,16.wav,Conversation
2aUWpuKZ-GQ,0.0,10.0,2,10.0,0,17.wav,Doorbell
2hBVVym00rc,30.0,40.0,1,10.0,0,18.wav,Conversation
3RKZM0WIRbk,0.0,10.0,3,10.0,0,20.wav,Rain
3vaGGiJrE2k,30.0,40.0,2,10.0,0,21.wav,Doorbell
3y2aZEs1F5s,70.0,80.0,3,10.0,0,22.wav,Rain
4_cwAbkJLeY,430.0,440.0,2,10.0,0,23.wav,Doorbell
4c1omzV5pP8,90.0,100.0,2,10.0,0,24.wav,Doorbell
5ddBDVLBRFQ,30.0,40.0,3,10.0,0,25.wav,Rain
6WJitOS-RHw,110.0,120.0,2,10.0,0,26.wav,Doorbell
6XOsBs2rZRg,30.0,40.0,0,10.0,0,27.wav,Baby
6i8NJqD6sos,280.0,290.0,1,10.0,0,28.wav,Conversation
6iyinlZEgS4,40.0,50.0,2,10.0,0,29.wav,Doorbell
6qlfodh49BA,0.0,3.0,2,3.0,0,30.wav,Doorbell
7sEqD9pB1nI,70.0,80.0,3,10.0,0,32.wav,Rain
8CtGons_X48,30.0,40.0,3,10.0,1,33.wav,Rain
8FYoIwYkoWY,190.0,200.0,3,10.0,1,34.wav,Rain
8Mv_svNZKhE,30.0,40.0,0,10.0,0,35.wav,Baby
8Ti-qa2gvoc,29.0,39.0,3,10.0,1,36.wav,Rain
9Bg7XK1Uoyw,10.0,20.0,3,10.0,1,37.wav,Rain
9Bln0rDEx_o,30.0,40.0,2,10.0,1,38.wav,Doorbell
9VJL-ktypNw,0.0,6.0,2,6.0,1,41.wav,Doorbell
9Wfg4h6CVqo,30.0,40.0,3,10.0,1,42.wav,Rain
AKMuR1-yWAc,420.0,430.0,1,10.0,1,43.wav,Conversation
Add11iatg0Y,50.0,60.0,2,10.0,1,45.wav,Doorbell
BJ8up8BXMjg,570.0,580.0,2,10.0,1,46.wav,Doorbell
Bh2dm_FYKpE,30.0,40.0,0,10.0,0,47.wav,Baby
BqQxzzVkToc,30.0,40.0,1,10.0,1,48.wav,Conversation
BurGML_ZqSA,100.0,110.0,2,10.0,1,49.wav,Doorbell
